Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
30-May-2022,1490.10,1530.00,1486.80,1527.55,1520.658798305093367380,393178,16453,597889585.00,239883,61.01,43.20,37.45
27-May-2022,1450.00,1467.00,1437.30,1460.85,1455.220770671191994850,478492,15412,696311497.00,363831,76.04,29.70,10.85
26-May-2022,1410.00,1430.00,1407.00,1423.80,1420.176647482157742493,602222,28759,855261621.00,372115,61.79,23.00,13.80
25-May-2022,1434.00,1442.85,1399.50,1411.45,1421.644594383470687028,512060,34389,727967331.00,336641,65.74,43.35,-22.55
24-May-2022,1470.00,1470.00,1435.30,1441.20,1450.315336725618557452,342935,21073,497363890.00,227431,66.32,34.70,-28.80
23-May-2022,1458.50,1487.85,1450.05,1468.70,1473.790447525135968239,247852,17222,365281910.00,117086,47.24,37.80,10.20
20-May-2022,1452.00,1466.90,1447.00,1455.50,1457.297166972175863861,438612,20341,639188025.00,267762,61.05,19.90,3.50
19-May-2022,1480.00,1481.00,1417.70,1427.20,1437.458479456206433735,923880,86048,1328039140.00,521650,56.46,63.30,-52.80
18-May-2022,1524.00,1549.80,1505.20,1509.70,1527.638949226847581357,201642,16448,308036173.00,71069,35.25,44.60,-14.30
17-May-2022,1494.80,1524.80,1480.25,1518.65,1505.423205156701489219,512886,31170,772110486.00,374498,73.02,44.55,23.85
16-May-2022,1506.15,1512.75,1478.65,1489.25,1491.968946383425813441,152285,10591,227204491.00,68364,44.89,34.10,-16.90
13-May-2022,1520.00,1529.00,1498.30,1503.35,1515.581040141378439787,277270,22236,420225155.00,128098,46.20,30.70,-16.65
12-May-2022,1515.00,1527.20,1504.90,1509.25,1515.178846052085567156,359063,29240,544044662.00,189402,52.75,22.30,-5.75
11-May-2022,1553.00,1553.00,1511.55,1527.20,1524.254960783518823672,419339,28077,639179551.00,240204,57.28,41.45,-25.80
10-May-2022,1561.00,1569.95,1546.25,1553.60,1561.139974256764933459,272693,12471,425711943.00,183414,67.26,23.70,-7.40
9-May-2022,1530.40,1586.40,1522.40,1570.20,1562.868199171093339559,428275,27053,669337378.00,191471,44.71,64.00,39.80
6-May-2022,1543.00,1556.55,1535.10,1543.45,1544.276083949179074593,329628,34213,509036637.00,175026,53.10,21.45,0.45
5-May-2022,1558.45,1589.25,1557.55,1585.25,1580.192444308085488630,316159,23919,499592063.00,172191,54.46,31.70,26.80
4-May-2022,1545.00,1569.95,1530.50,1535.95,1541.651039385533764822,3945408,28383,6082442344.00,3788788,96.03,39.45,-9.05
2-May-2022,1551.00,1552.25,1530.60,1541.25,1537.758965522685292731,443393,40650,681831561.00,287272,64.79,21.65,-9.75
29-April-2022,1591.65,1597.40,1561.10,1567.90,1579.492490748114489155,213470,23234,337174262.00,118027,55.29,36.30,-23.75
28-April-2022,1567.70,1601.40,1557.90,1583.30,1581.681040274117997122,325991,22221,515613784.00,158824,48.72,43.50,15.60
27-April-2022,1579.40,1579.40,1550.50,1553.20,1557.290190626420340614,149612,9472,232989300.00,99566,66.55,28.90,-26.20
26-April-2022,1574.20,1592.00,1567.00,1579.75,1583.784986151994547800,344815,21830,546112820.00,238569,69.19,25.00,5.55
25-April-2022,1575.70,1575.70,1554.10,1561.45,1561.573546653639472398,450340,45028,703239031.00,335590,74.52,21.60,-14.25
22-April-2022,1617.00,1617.00,1583.00,1585.70,1598.769320336964671635,226730,14448,362488968.00,159551,70.37,34.00,-31.30
21-April-2022,1595.05,1626.60,1589.20,1618.50,1613.160910566797668579,338163,28569,545511333.00,174810,51.69,37.40,23.45
20-April-2022,1575.00,1596.00,1563.15,1587.85,1583.289350040480618421,590406,43893,934783532.00,341258,57.80,32.85,12.85
19-April-2022,1644.00,1644.00,1550.40,1563.95,1591.127402689241507725,982805,107960,1563767967.00,644640,65.59,93.60,-80.05
18-April-2022,1608.00,1650.90,1592.05,1621.45,1626.503812455293710209,1544805,147511,2512631222.00,949607,61.47,58.85,13.45
13-April-2022,1759.45,1759.45,1732.25,1748.65,1746.524574194734775629,201207,10285,351412970.00,86704,43.09,27.20,-10.80
12-April-2022,1759.00,1759.00,1727.50,1741.45,1741.757518982348880780,324512,40592,565221216.00,169548,52.25,31.50,-17.55
11-April-2022,1818.95,1818.95,1763.00,1766.65,1774.424081360465471591,556339,48130,987181319.00,348541,62.65,55.95,-52.30
8-April-2022,1823.70,1838.00,1808.40,1815.10,1822.723761281612433426,188138,13947,342923603.00,77839,41.37,29.60,-8.60
7-April-2022,1825.00,1828.00,1807.80,1811.50,1818.971608781658397379,185022,9910,336549765.00,123646,66.83,20.20,-13.50
6-April-2022,1853.10,1856.95,1822.10,1828.45,1835.732901096135769848,270222,22947,496055416.00,151785,56.17,34.85,-24.65
5-April-2022,1886.00,1889.75,1857.20,1861.10,1872.938479124305987210,189838,11263,355554895.00,113174,59.62,32.55,-24.90
4-April-2022,1895.20,1895.20,1873.50,1882.45,1884.805331252976160322,296103,15557,558096513.00,153197,51.74,21.70,-12.75
1-April-2022,1894.00,1909.95,1878.95,1902.35,1893.543616077088880436,189288,10267,358425084.00,102029,53.90,31.00,8.35
